S, ., ., #, ., ., ., ., ., ., #, ., ., ., ., ., #, ., ., ., 
., ., ., #, ., ., ., ., ., ., ., ., ., ., ., ., #, ., ., ., 
., ., ., #, ., ., ., ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., #, ., ., ., ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., #, ., ., ., ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., #, ., ., ., ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., #, ., ., ., ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., ., #, ., ., ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., ., ., #, ., ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., ., ., ., #, ., ., ., #, ., ., ., ., ., #, ., #, ., 
#, ., #, #, #, #, #, ., ., ., #, ., ., ., ., ., #, ., #, ., 
., ., ., ., ., ., ., ., ., ., #, ., ., ., ., ., ., ., #, ., 
., ., ., ., ., ., ., ., ., ., #, ., ., ., ., ., ., ., #, ., 
., ., ., ., ., ., ., ., ., ., #, ., ., ., ., ., ., ., #, E, 
